Town,Inhabitants,y_lat,x_lon,node_id
Aba,4622.0,47.07292065500008,18.51893500000006,276162081
Abádszalók,4144.0,47.45396500000004,20.61194599700008,416417785
Abaliget,650.0,46.14177986692979,18.0931021218518,1600073373
Abasár,2529.0,47.81518274200005,20.00883000000005,273121334
Abaújalpár,67.0,48.29829595032364,21.24962494330922,4329721557
Abaújkér,595.0,48.31464000000005,21.19561561100005,1188941936
Abaújlak,81.0,48.40018000000003,20.94376260600006,472836824
Abaújszántó,2827.0,48.28024417800003,21.25363000000004,324404851
Abaújszolnok,240.0,48.36019238800003,20.96363000000002,740465050
Abaújvár,266.0,48.52571397735119,21.32095048100511,740689778
Abda,3365.0,47.69937000000004,17.55801284200004,2851910286
Abod,168.0,48.39830500000005,20.81238081900005,2782145023
Abony,15008.0,47.18885000000006,20.01681848500004,265337673
Ábrahámhegy,627.0,46.83225595410676,17.56098114248275,500824682
Ács,7172.0,47.70539500100006,17.97631179200005,1412997918
Acsa,1327.0,47.79475500000007,19.38226238500005,255311148
Acsád,655.0,47.33040500000004,16.74884007700007,420545111
Acsalag,498.0,47.67287000000005,17.19014036500005,292317546
Ácsteszér,693.0,47.41069000100003,18.01894005300005,420132969
Adács,2660.0,47.68791000000004,20.00496614500003,448315164
Ádánd,2234.0,46.84371500000003,18.16399108600007,2038121053
Adásztevel,817.0,47.30302000000006,17.53821588000005,2043978213
Adony,4221.0,47.09028500000005,18.83501166900004,280444736
Adorjánháza,372.0,47.24044500000008,17.23972654600004,420527915
Adorjás,182.0,45.86073205400004,18.05251500000003,2598174520
Ág,183.0,46.28320208262873,18.23569053531189,279156765
Ágasegyháza,2015.0,46.83011500000003,19.47404879900006,411750051
Ágfalva,2406.0,47.68733500000008,16.50788239700006,851862356
Aggtelek,526.0,48.46131727800008,20.53764000100006,378724043
Agyagosszergény,979.0,47.61867504800006,16.94872500000002,10269778960
Ajak,3598.0,48.17136500000004,22.05432818300005,3022921078
Ajka,26917.0,47.08852000000007,17.56577972300005,2574863511
Aka,260.0,47.40554000100008,18.07805877300007,2790803732
Akasztó,3300.0,46.68543000000005,19.20257123700003,289119698
Alacska,706.0,48.22302000000008,20.64434096900004,3847865746
Alap,1938.0,46.83157500000004,18.70336712100004,706650326
Alattyán,2107.0,47.42947500000002,20.05654001600004,10992808270
Albertirsa,13909.0,47.24586500000004,19.62040795500008,835624033
Alcsútdoboz,1535.0,47.42704500000008,18.59956043100004,289103337
Aldebrő,721.0,47.79135000000008,20.22638548000003,243690157
Algyő,5556.0,46.32204682400004,20.19915000100008,3929076779
Alibánfa,427.0,46.89459719319547,16.92048408302378,632831477
